timestamp,date_GMT,team_name,a_team,ppg,Opp_PPG,PPG_Dif,goal_count,a_goal_count,corner_count,shots,shots_on_target,Opp_Shot_On_Target,SoT_Comp_Ratio,SoT_Diff,Goal_Sot,possession,xg,Op_Xg,xg_diff,odds_win,odds_draw,Win,prediction_label
1697136300,Oct 12 2023 - 6:45pm,Spain,Scotland,2.63,2.13,0.5,2,0,7,14,6,2,3,4,0.333333333,74,1.75,0.57,1.18,1.3,5.5,1,1
1697136300,Oct 12 2023 - 6:45pm,Cyprus,Norway,0,1.38,-1.38,0,4,1,3,0,10,0,-10,0,27,0.28,2.52,-2.24,12,5.75,0,0
1697136300,Oct 12 2023 - 6:45pm,Croatia,Turkey,2,2.13,-0.13,0,1,5,12,7,7,1,0,0,63,1.79,1.51,0.28,1.67,3.6,0,1
1697136300,Oct 12 2023 - 6:45pm,Albania,Czech Republic,1.88,1.88,0,3,0,1,10,6,8,0.75,-2,0.5,36,1.16,1.8,-0.64,3.25,3.23,1,1
1697136300,Oct 12 2023 - 6:45pm,Faroe Islands,Poland,0.25,1.5,-1.25,0,2,4,3,0,5,0,-5,0,34,0.41,1.23,-0.82,8.25,4.83,0,0
1697136300,Oct 12 2023 - 6:45pm,Andorra,Kosovo,0.2,1.1,-0.9,0,3,3,5,4,8,0.5,-4,0,35,0.81,1.69,-0.88,8,4.33,0,0
1697136300,Oct 12 2023 - 6:45pm,Belarus,Romania,1.2,2.2,-1,0,0,4,8,3,6,0.5,-3,0,32,0.86,2.02,-1.16,5.9,3.83,0,0
1697212800,Oct 13 2023 - 4:00pm,Estonia,Azerbaijan,0.11,0.88,-0.77,0,2,5,12,6,5,1.2,1,0,49,1.44,1.03,0.41,2.2,3.1,0,0
1697222700,Oct 13 2023 - 6:45pm,Netherlands,France,2.25,2.75,-0.5,1,2,2,9,5,8,0.625,-3,0.2,45,1.19,1.62,-0.43,3.18,3.45,0,1
1697222700,Oct 13 2023 - 6:45pm,Republic of Ireland,Greece,0.75,1.7,-0.95,0,2,7,16,6,6,1,0,0,58,1.9,1.3,0.6,2.4,3.1,0,0
1697222700,Oct 13 2023 - 6:45pm,Austria,Belgium,2.38,2.5,-0.12,2,3,6,15,6,6,1,0,0.333333333,58,1.81,1.14,0.67,2.75,3.25,0,1
1697222700,Oct 13 2023 - 6:45pm,Iceland,Luxembourg,1.08,1.55,-0.47,1,1,7,11,4,2,2,2,0.25,58,1.46,0.83,0.63,1.8,3.5,0,0
1697222700,Oct 13 2023 - 6:45pm,Portugal,Slovakia,3,2.2,0.8,3,2,11,23,13,4,3.25,9,0.230769231,58,2.77,1.2,1.57,1.26,5.9,1,1
1697222700,Oct 13 2023 - 6:45pm,Liechtenstein,Bosnia-Herzegovina,0,0.82,-0.82,0,2,0,4,2,14,0.142857143,-12,0,26,0.48,3.07,-2.59,29.5,11,0,0
1697288400,Oct 14 2023 - 1:00pm,Ukraine,FYR Macedonia,2,1,1,2,0,11,16,8,6,1.333333333,2,0.25,46,1.84,1.47,0.37,1.64,3.88,1,1
1697288400,Oct 14 2023 - 1:00pm,Northern Ireland,San Marino,0.9,0,0.9,3,0,5,15,8,0,8,8,0.375,76,2.09,0.28,1.81,1.02,29,1,1
1697299200,Oct 14 2023 - 4:00pm,Bulgaria,Lithuania,0.5,0.75,-0.25,0,2,4,11,5,5,1,0,0,43,1.41,1.22,0.19,1.55,3.95,0,0
1697299200,Oct 14 2023 - 4:00pm,Slovenia,Finland,2.2,1.64,0.56,3,0,4,12,6,4,1.5,2,0.5,42,1.51,0.93,0.58,1.82,3.45,1,1
1697309100,Oct 14 2023 - 6:45pm,Italy,Malta,1.75,0,1.75,4,0,12,14,5,0,5,5,0.8,67,1.81,0.09,1.72,1.03,17,1,1
1697309100,Oct 14 2023 - 6:45pm,Hungary,Serbia,2.25,1.75,0.5,2,1,3,7,5,7,0.714285714,-2,0.4,36,0.99,1.85,-0.86,2.69,3.26,1,1
1697309100,Oct 14 2023 - 6:45pm,Denmark,Kazakhstan,2.2,1.64,0.56,3,1,5,13,5,2,2.5,3,0.6,64,1.45,0.57,0.88,1.14,8.57,1,1
1697374800,Oct 15 2023 - 1:00pm,Georgia,Cyprus,1.2,0,1.2,4,0,2,11,7,6,1.166666667,1,0.571428571,60,1.47,1.26,0.21,1.43,4.39,1,1
1697385600,Oct 15 2023 - 4:00pm,Czech Republic,Faroe Islands,1.88,0.25,1.63,1,0,10,24,8,2,4,6,0.125,70,2.76,0.6,2.16,1.08,9.5,1,1
1697385600,Oct 15 2023 - 4:00pm,Switzerland,Belarus,1.7,1.2,0.5,3,3,9,22,8,4,2,4,0.375,78,2.6,0.79,1.81,1.08,9.8,0,1
1697395500,Oct 15 2023 - 6:45pm,Norway,Spain,1.38,2.63,-1.25,0,1,3,5,3,3,1,0,0,33,0.72,1.24,-0.52,4.4,3.6,0,0
1697395500,Oct 15 2023 - 6:45pm,Turkey,Latvia,2.13,0.38,1.75,4,0,9,19,9,3,3,6,0.444444444,68,2.21,0.87,1.34,1.12,8.3,1,1
1697395500,Oct 15 2023 - 6:45pm,Wales,Croatia,1.6,2,-0.4,2,1,5,9,6,4,1.5,2,0.333333333,28,1.22,1.19,0.03,3.7,3.45,1,1
1697395500,Oct 15 2023 - 6:45pm,Poland,Moldova,1.5,1.25,0.25,1,1,8,15,8,2,4,6,0.125,72,2.05,0.65,1.4,1.19,7,0,1
1697395500,Oct 15 2023 - 6:45pm,Romania,Andorra,2.2,0.2,2,4,0,5,16,10,0,10,10,0.4,79,2.21,0.31,1.9,1.15,8.25,1,1
1697472000,Oct 16 2023 - 4:00pm,Azerbaijan,Austria,0.88,2.38,-1.5,0,1,4,5,0,4,0,-4,0,54,0.63,1.27,-0.64,8.38,4.99,0,0
1697481900,Oct 16 2023 - 6:45pm,Gibraltar,Republic of Ireland,0,0.75,-0.75,0,4,1,5,0,13,0,-13,0,25,0.36,3.17,-2.81,34,14.5,0,0
1697481900,Oct 16 2023 - 6:45pm,Greece,Netherlands,1.7,2.25,-0.55,0,1,2,8,3,7,0.428571429,-4,0,40,1.05,1.52,-0.47,4.1,3.75,0,0
1697481900,Oct 16 2023 - 6:45pm,Belgium,Sweden,2.5,1.25,1.25,1,1,2,8,4,7,0.571428571,-3,0.25,50,0,0,0,1.61,4,0,1
1697481900,Oct 16 2023 - 6:45pm,Iceland,Liechtenstein,1.08,0,1.08,4,0,6,14,10,3,3.333333333,7,0.4,71,2.06,0.69,1.37,1.06,16,1,1
1697481900,Oct 16 2023 - 6:45pm,Bosnia-Herzegovina,Portugal,0.82,3,-2.18,0,5,4,3,0,7,0,-7,0,32,0.41,1.53,-1.12,6,4.5,0,0
1697481900,Oct 16 2023 - 6:45pm,Luxembourg,Slovakia,1.55,2.2,-0.65,0,1,5,12,4,3,1.333333333,1,0,53,1.27,0.94,0.33,2.75,3.4,0,0
1697558400,Oct 17 2023 - 4:00pm,Finland,Kazakhstan,1.64,1.64,0,1,2,8,14,5,5,1,0,0.2,58,1.52,1.17,0.35,1.5,4,0,1
1697568300,Oct 17 2023 - 6:45pm,England,Italy,2.5,1.75,0.75,3,1,2,10,7,5,1.4,2,0.428571429,51,1.37,1.19,0.18,1.67,3.5,1,1
1697568300,Oct 17 2023 - 6:45pm,Malta,Ukraine,0,2,-2,1,3,0,13,5,8,0.625,-3,0.2,34,1.38,1.83,-0.45,8.5,5,0,0
1697568300,Oct 17 2023 - 6:45pm,Serbia,Montenegro,1.75,1.38,0.37,3,1,6,16,8,4,2,4,0.375,59,2.07,1.07,1,1.4,4.8,1,1
1697568300,Oct 17 2023 - 6:45pm,Lithuania,Hungary,0.75,2.25,-1.5,2,2,1,8,5,9,0.555555556,-4,0.4,35,1.08,1.95,-0.87,10.5,6.25,0,0
1697568300,Oct 17 2023 - 6:45pm,Northern Ireland,Slovenia,0.9,2.2,-1.3,0,1,6,5,3,5,0.6,-2,0,42,0.84,1.03,-0.19,2.87,3.4,0,0
1697568300,Oct 17 2023 - 6:45pm,San Marino,Denmark,0,2.2,-2.2,1,2,3,6,3,5,0.6,-2,0.333333333,18,0.65,1.46,-0.81,81,41,0,0
1699818300,Nov 12 2023 - 7:45pm,Kosovo,Israel,1.1,1.36,-0.26,1,0,3,11,8,3,2.666666667,5,0.125,34,1.63,1.11,0.52,2.4,3.4,1,1
